frequency_hz,two_ray_los_db,two_ray_with_reflector_db,room_metal_db,room_concrete_db,room_foam_board_db
5532000000.0,-57.30542665062883,-64.60546189999603,-57.0021939552846,-58.40313304936991,-59.845661477649806
5534000000.0,-57.308566317982034,-65.24162521543458,-57.0021939552846,-58.40313304936991,-59.845661477649806
5536000000.0,-57.3117048508574,-65.89550629364395,-57.0021939552846,-58.40313304936991,-59.845661477649806
5538000000.0,-57.31484225007449,-66.55709587569035,-57.0021939552846,-58.40313304936991,-59.845661477649806
5540000000.0,-57.31797851645197,-67.21007989004033,-57.0021939552846,-58.40313304936991,-59.845661477649806
5542000000.0,-57.32111365080763,-67.82976600462257,-57.0021939552846,-58.40313304936991,-59.845661477649806
5544000000.0,-57.32424765395838,-68.38182854941856,-57.0021939552846,-58.40313304936991,-59.845661477649806
5546000000.0,-57.32738052672023,-68.82373975763562,-57.0021939552846,-58.40313304936991,-59.845661477649806
5548000000.0,-57.33051226990832,-69.11111055325658,-57.0021939552846,-58.40313304936991,-59.845661477649806
5550000000.0,-57.3336428843369,-69.20922527432181,-57.0021939552846,-58.40313304936991,-59.845661477649806
5552000000.0,-57.33677237081935,-69.1053067960534,-57.0021939552846,-58.40313304936991,-59.845661477649806
5554000000.0,-57.339900730168154,-68.81371128609919,-57.0021939552846,-58.40313304936991,-59.845661477649806
5556000000.0,-57.343027963194935,-68.37011643398606,-57.0021939552846,-58.40313304936991,-59.845661477649806
5558000000.0,-57.34615407071043,-67.81908470765943,-57.0021939552846,-58.40313304936991,-59.845661477649806
5560000000.0,-57.349279053524526,-67.20277047920405,-57.0021939552846,-58.40313304936991,-59.845661477649806
5562000000.0,-57.35240291244619,-66.55491954110633,-57.0021939552846,-58.40313304936991,-59.845661477649806
5564000000.0,-57.355525648283546,-65.89966696574436,-57.0021939552846,-58.40313304936991,-59.845661477649806
5566000000.0,-57.358647261843856,-65.25288543669686,-57.0021939552846,-58.40313304936991,-59.845661477649806
5568000000.0,-57.36176775393349,-64.62426922333356,-57.0021939552846,-58.40313304936991,-59.845661477649806
5570000000.0,-57.36488712535795,-64.01925117669853,-57.0021939552846,-58.40313304936991,-59.845661477649806
5572000000.0,-57.36800537692189,-63.44047418809968,-57.0021939552846,-58.40313304936991,-59.845661477649806
5574000000.0,-57.37112250942908,-62.88882419094608,-57.0021939552846,-58.40313304936991,-59.845661477649806
5576000000.0,-57.374238523682436,-62.36412012025199,-57.0021939552846,-58.40313304936991,-59.845661477649806
5578000000.0,-57.37735342048399,-61.86556101981266,-57.0021939552846,-58.40313304936991,-59.845661477649806
5580000000.0,-57.380467200634946,-61.39200983956755,-57.0021939552846,-58.40313304936991,-59.845661477649806
5582000000.0,-57.38357986493562,-60.94217047361613,-57.0021939552846,-58.40313304936991,-59.845661477649806
5584000000.0,-57.38669141418547,-60.51469613471666,-57.0021939552846,-58.40313304936991,-59.845661477649806
5586000000.0,-57.3898018491831,-60.108254016176545,-57.0021939552846,-58.40313304936991,-59.845661477649806
5588000000.0,-57.39291117072626,-59.72156234157781,-57.0021939552846,-58.40313304936991,-59.845661477649806
5590000000.0,-57.396019379611836,-59.35341011218294,-57.0021939552846,-58.40313304936991,-59.845661477649806
5592000000.0,-57.39912647663587,-59.002666127843504,-57.0021939552846,-58.40313304936991,-59.845661477649806
5594000000.0,-57.402232462593545,-58.66828146559958,-57.0021939552846,-58.40313304936991,-59.845661477649806
